latitude,longitude,name,vicinity,tag,color
40.716351,-74.007622,City Hall Restaurant,"131 Duane Street, New York",friendly,#0000FF
40.74427,-74.00645,The Park,"118 10th Avenue, New York",friendly,#0000FF
40.715544,-73.998454,Old Shanghai Deluxe,"50 Mott Street, New York",friendly,#0000FF
40.748218,-73.987888,Radisson Martinique,"49 West 32nd Street, New York",friendly,#0000FF
40.740728,-73.991049,Greensquare Tavern,"5 West 21st Street, New York",friendly,#0000FF
40.680484,-73.975064,67Burger,"234 Flatbush Avenue, Brooklyn",friendly,
40.721481,-73.988424,Noodle Bar,"172 Orchard St, 172 Orchard Street, New York",friendly,
40.71665,-73.996011,Friendly Cellular,"70 Bowery, New York",friendly,
40.709314,-74.008709,Friendly Pizzeria,"59 Nassau Street, New York",friendly,
40.777016,-73.978472,Le Pain Quotidien,"50 West 72nd Street, New York",friendly,
40.722559,-74.000433,Keetsa Eco-Friendly Mattresses (Soho),"69 Mercer Street, New York",friendly,
40.687255,-73.985259,Greenhouse,387 Atlantic Avenue,friendly,
40.700303,-73.947164,Friendly Pizza,"211 Harrison Avenue, Brooklyn",friendly,
40.751803,-74.005105,'wichcraft,"269 11th Avenue, New York",friendly,
40.719501,-74.043347,Friendly Cleaners,"107 Columbus Drive, Jersey City",friendly,
40.643274,-73.978571,Friendly's Chinese Restaurant,"125 Church Avenue, Brooklyn",friendly,
40.705527,-74.007762,Friendly Sons Of St Patrick,"80 Wall Street, New York",friendly,
40.75599,-73.942488,Friendly Restaurant,"12-05 40th Avenue, Queens",friendly,
40.751256,-74.02825,Friendly Cleaners II,"1145 Garden Street, Hoboken",friendly,
40.807594,-73.963468,Fred Friendly Seminars Inc,"2950 Broadway, New York",friendly,
40.707399,-74.010209,Federal Hall National Memorial,"26 Wall Street, New York",fun,
40.724945,-73.992654,Duane Park,"308 Bowery, New York",fun,
40.740164,-73.992451,West Side Rifle & Pistol Range,"20 West 20th Street, New York",fun,
40.748328,-73.98556,Empire State Building,"350 5th Avenue, New York",fun,
40.723076,-74.007899,92YTribeca,"200 Hudson Street, New York",fun,
40.771165,-73.967228,The Frick Collection,"1 East 70th Street, New York",fun,
40.727323,-73.984909,Fun City Tattoo,"94 Saint Marks Place, New York",fun,
40.721437,-73.987755,No Fun,"161 Ludlow Street, New York",fun,
40.756479,-73.988543,Ripley's Believe it or Not! Times Square,"234 West 42nd Street, New York",fun,
40.729088,-74.005419,New York Sports Clubs,"225 Varick Street, New York",fun,
40.76773,-73.9718,Central Park Zoo,"830 5th Avenue, New York",fun,
40.773207,-73.98139,American Folk Art Museum,"2 Lincoln Square, Manhattan",fun,
40.715917,-74.012515,SoulCycle,"103 Warren Street, New York",fun,
40.748159,-74.008436,Chelsea Piers,"62 Chelsea Piers #300, New York",fun,
40.736792,-73.988247,Netherlands Board of Tourism & Conventions,"215 Park Avenue South, New York",fun,
40.752496,-73.968452,Japan Society,"333 East 47th Street, New York",fun,
40.745662,-73.989808,New York Building Congress,"44 West 28th Street, New York",fun,
40.768096,-73.974428,Victorian Gardens Amusement Park,"830 5th Avenue, New York",fun,
40.715762,-74.007995,Gymboree Play & Music Center,"100 Reade Street, New York",fun,
40.688278,-73.988942,Carmelo the Science Fellow,"300 Atlantic Avenue, Brooklyn",fun,
,,,,,
40.729457,-74.003793,Lively Set,"33 Bedford Street, New York",lively,
40.757193,-73.971294,Lively Group,"575 Lexington Avenue, New York",lively,
40.75027,-73.976734,Frank Lively & Associates,"355 Lexington Avenue, New York",lively,
40.658786,-73.928026,Lively Stone Church,"65 East 53rd Street, Brooklyn",lively,
40.776018,-73.982719,"William Wolf Features, Inc.","155 West 68th Street #30a, New York",lively,
40.763783,-73.976025,Marlborough,"40 W 57th St # 2, New York",lively,
40.714682,-73.990844,Clandestino,"35 Canal Street, New York",lively,
40.723218,-74.000767,Diesel Black Gold,"68 Greene Street, New York",lively,
40.726975,-73.989043,Cooper's Craft & Kitchen,"87 2nd Avenue, New York",lively,
40.742876,-73.984613,Unigo,"386 Park Avenue South #15, New York",lively,
40.766872,-73.987583,Little Vets After School Science Program,"410 West 55th Street, New York",lively,
40.762195,-73.958395,Global Communications-Cnsrvtns,"420 E 64th St # W9c, New York",lively,
40.734805,-73.999605,Kingswood,"121 West 10th Street, New York",lively,
40.756683,-73.988843,Hilton Times Square,"234 West 42nd Street, New York",lively,
40.73883,-74.006351,Christian Louboutin Horatio,"59 Horatio Street, New York",lively,
40.761258,-73.986648,Hilton Garden Inn Times Square,"790 8th Avenue, New York",lively,
40.774956,-73.957033,Amber,"1406 3rd Avenue, New York",lively,
40.739944,-74.005851,Gansevoort Meatpacking Hotel,"18 9th Avenue, New York",lively,
40.742187,-74.003942,Maritime Hotel,"363 West 16th Street, New York",lively,
