"ï»¿""results__geometry__location__lat""",results__geometry__location__lng,results__name,results__vicinity,,
40.753252,-73.987428,"Arnone, Roberta - Neighborly Notary, Inc.","1375 Broadway, New York",,neighborly
40.718117,-74.005139,Neighborly Energy Inc,"95 Franklin Street, New York",,neighborly
40.779676,-73.982653,"Arnone, Roberta - Neighborly Notary","240 West 73rd Street, New York",,neighborly
40.687325,-73.990158,Bar Tabac,"128 Smith Street, New York",,neighborly
40.718999,-73.996624,Manhattan Grand Optical,"203 Grand Street, New York",,neighborly
40.714146,-73.96526,Isa,"348 Wythe Avenue, New York",,neighborly
40.751823,-73.975082,"Roberta Arnone, Esq.","132 East 43rd Street, New York",,neighborly
40.742685,-73.9984,CafÃ© Grumpy,"224 West 20th Street, New York",,neighborly
40.735679,-73.99836,Kin Shop,"469 6th Avenue, New York",,neighborly
40.718843,-74.010161,The Harrison,"355 Greenwich Street, New York",,neighborly
40.730472,-74.00698,EN Japanese Brasserie,"435 Hudson Street, New York",,neighborly
40.755551,-73.989597,Inakaya,"231 West 40th Street, New York",,neighborly
40.713735,-74.037656,Bistro La Source,"85 Morris Street, Jersey City",,neighborly
40.782172,-73.978827,Beacon Paint & Hardware,"371 Amsterdam Avenue, New York",,neighborly
40.718603,-73.947769,Krrb.com,"99 Richardson Street, Brooklyn",,neighborly
40.727887,-73.990801,The Standard East Village,"25 Cooper Square, New York",,neighborly
40.714221,-73.957703,The Front Room Gallery,"147 Roebling Street, Brooklyn",,neighborly
40.733653,-74.001659,Joseph Leonard,"170 Waverly Place, New York",,neighborly
40.73232,-74.001977,Perilla,"9 Jones Street, New York",,neighborly
40.748437,-73.978086,Affinia Shelburne,"303 Lexington Avenue, New York",,neighborly
