"ï»¿""results__geometry__location__lat""",results__geometry__location__lng,results__name,results__vicinity,results__photos__height,results__photos__photo_reference,results__photos__width,results__opening_hours__open_now,results__rating,results__types,next_page_token,status,results__types__001,results__types__002,results__types__003,results__types__004
40.739418,-73.976653,New York University Med Center: Hilz Max J MD,"550 1st Ave, New York",,,,,,,CmRUAAAAY5KEZuwD3NGL5Yh14KyttUGE_fIZVUkMmVT7VaB2Tl7xsvEfdRiP4oO5FCL2fwpfXbYFr5kD1si85WWZuO557Du1Qt3gGfpKgqYCd7azDjbdte_RQ2v2a2oYg-7uVfDQEhDc9xi7eo7QB33ttagAubFyGhROvTK1WLk8HmIeqYxb_hXYoEcGFg,OK,doctor,health,establishment,
40.707286,-74.007655,"Rehabilitation Medicine Center-Ny-Jose Colon, MD","80 Maiden Lane #604, New York",1008,CoQBewAAADdHWS8UfkIkWTecJwbWdnioGqVLwkOurCulE87lALGmb_sYpT9D9U03LSqMLvdtzcZekK8vnqw65tgGjH4hNjxCLzrEGX4TfhM4vDd86TQuIbTlwkuXp8ZnEUjyJrdli_lX-78gy6MDjCQUUaWLmHg134Ykf9syDjJ9DskTItKFEhCDo2_inmeKvw8jYcKgTzAvGhTZ86nFdzf9-GpkhJWo93cTiJ1fNw,1221,,,,,,doctor,health,establishment,
40.763161,-73.968388,"Ira Finegold MD, Allergy Asthma & Immunology","121 E 60th St # 4C, New York",,,,,,,,,doctor,health,establishment,
40.688243,-73.992894,Cobble Hill Animal Clinic,"173 Court Street, Brooklyn",225,CoQBgAAAANWiJDmKbHKAhPY82kFYo2I5AM9fp5wPliTSUOtRqx-eDIRdIgYzeNOiG1ZKrw3y32j1P3_UKGWJElrI9nJOjLUDcRhbtXySQoW-dpNMqNI83-J0YziC1qummwks7WMQDXn0k-96YOskghHHj_OovDrat8DxsudIKUF0QXSHGS0MEhAsriH2iuLNDwQF_OJCUBqNGhSx6RmPWlXa-6_Ib68rbXMTVeoOiw,150,TRUE,,,,,veterinary_care,establishment,,
40.74685,-73.983501,Lori S Weisenfeld Dpm,"161 Madison Avenue, New York",,,,,,,,,doctor,health,establishment,
40.790424,-73.977277,Sislowitz Marcel J MD,"585 W End Ave # 1G, New York",,,,,,,,,doctor,health,establishment,
40.786517,-74.044147,Holiday Inn Secaucus Meadowlands,"300 Plaza Drive, Secaucus",427,CpQBhwAAAPb5Mv3Wwi6LAgPHcilFXUPjTB6HaQnYkCC4bBsBRryNOzveMzgMH4l-nvDamHdq4QnfZEHiWLeuInhLZtEvcPD_xVQjrqxsHE88C6ima72QK_WVNG05N0kbtREbxxr10fN2j6vL5GrAzquaVBY3s7xmSub2hWgTo2A7gcq7DJUIOq-i_2a6fsDX6lBDj3kO_hIQG7WDe_jrYHnwyGvGdiXamhoUR0L18wJ61sAKyA97W0I7MLRVdnI,640,TRUE,3.1,,,,lodging,establishment,,
40.762631,-73.96548,"Nancy L. Donenfeld, M.A.","200 East 61st Street, New York",318,CnRnAAAA11Ylt7kav_RhyyGXF25qtPR2rr_poVWaoVY3fiBLI2UPMrmSMU1xwGpM1CkHlbjcJKcZOPHWMlLGmhhteC8FH8jIDONdexjOYO1HN94qz9Q0THHmrpDIOLKxDTm9jJgIbPAfYoB0UVgMKuhOF_BWUxIQ8vd_cYQKaO0veCMhN_6klBoUsMkfD298wg9_z-Xyb-Rthg3_774,401,TRUE,3.9,,,,health,establishment,,
40.730792,-73.981255,Red Diaper Production,"451 E 14th St # 8F, New York",,,,,,establishment,,,,,,
40.739288,-74.003239,Gina Le Hair Salon,"301 West 13th Street, New York",853,CoQBdgAAAEHyhYjSljSNO6w59NR3bzYTHYkgsQacM8rPbfaPQQvj7ORChr-3GICx4fRVhCWhfUHxQWFQgeBSDu6TZkNb69OxOYOcidYMKfzgD64ydV1KW37RNlQlcKP6S6io2ZV6xIB0Y3nNhtVDDY-gufxDwGtYB642_wYMY18vRlai0uxqEhAgSf_9DZq3Uep9OFUwecWkGhSxgGivLSqfMcTkxNK1bCCfwvGsaw,1280,,,,,,beauty_salon,establishment,,
40.787051,-73.973036,Blye & Arons PC: Arons Elliot J MD,"123 West 86th Street, New York",,,,,,,,,doctor,health,establishment,
40.764287,-73.95426,"Dr. Michael F. Walton, MD","525 East 68th Street # 140, New York",,,,,,,,,doctor,health,establishment,
40.759726,-73.968621,"Matthew P. Grimm, M.D.","160 East 56th Street, New York",275,CpQBiQAAAAEUeOa0J5ORP8PpOKea4XsWa_hHdEb2er3QcUbOaX-za1NFndsMyH6Ub8_DlvQ1Vrc1Q7g2L9UjOiHHuBl5Pu4BGUNX-VpUXqUQXsy_rKK4Jg7rqUiz6LsBkHwfCSHGNxzdVGLT3uEZqj84GZxheqDy27tHIMLryGS7VCMPSnyQAtUPuakodCdwQOZ2UwfH2hIQWW-P158P13s1Zx3QNd7Q4RoUU_NdBT68k5idPMbYRdn5rhse9uU,269,TRUE,,establishment,,,,,,
40.75874,-73.978674,Rockefeller Center,"45 Rockefeller Plaza, New York",500,CoQBcgAAALofiDU_IXLVjaM6e_Ayt7FQg91pslfRSn8fGq-YvQmu7VzmXNTpWc7n1DH1Pw1IufdN130VTQ3XqKR92d328oBMvKU301L9hqHvx99TbsrZ54beQe0dkr6Jq2b8XclMzAuIsZpGS-p8lbC0N_S6m0X-EF0orwKHP3CRID-NK4feEhDYYYAGj_bKnL5-N8uJ9QVUGhQ8NgU1BWhDAC_aOWG9qcXq2GjkgA,337,TRUE,4.4,establishment,,,,,,
40.67503,-73.975181,Ideal Properties Group LLC,"78 7th Avenue, Brooklyn",,,,TRUE,,establishment,,,,,,
40.77424,-73.978987,Central Park West Dentistry: Lhota John F DDS,"25 W 68th St # 1A, New York",,,,,,,,,dentist,doctor,health,establishment
40.72158,-73.902614,Pacis Asuncion Q MD,"6210 Flushing Avenue, Flushing",,,,,,,,,doctor,health,establishment,
40.749388,-73.884376,Deborah G Fiss Law Offices,"37-06 82nd Street #2, Flushing",,,,,,,,,lawyer,establishment,,
40.765799,-73.982538,Surf Health and Fitness,"235 West 56th Street #28, New York",,,,,,establishment,,,,,,
40.787029,-73.973787,Surf Health and Fitness,"142 West 86th Street, New York",,,,,,establishment,,,,,,
