"ï»¿""results__geometry__location__lat""",results__geometry__location__lng,results__name,results__vicinity,tender
40.764025,-73.966406,Tender Buttons,"143 East 62nd Street, New York",tender
40.712618,-73.95798,Tender Trap,"245 South 1st Street, New York",tender
40.750736,-73.944945,Mason Tenders Training Fund,"4253 21st Street, Long Island City",tender
40.720419,-74.043558,Tender Shoot Farm,"138 Newark Avenue, Jersey City",tender
40.751066,-73.901375,Tender Touch,"60-11 Broadway, Woodside",tender
40.697833,-73.895838,Tender Joy Celebrations,"60th Place, Glendale",tender
40.721925,-74.00163,Tender Creative LLC,"42 Greene St, New York",tender
40.764503,-73.921242,Tender Care Labor Support,"30-70 33rd Street, Astoria",tender
40.723599,-74.063164,Tender Touch Health Care Services,"620 Montgomery Street, Jersey City",tender
40.806652,-73.918894,Tender Tots Child Care Center,"531 East 137th Street, New York",tender
40.736994,-73.995215,"Allstar Bartending School of New York, Inc","35 West 14th Street, New York",tender
40.68992,-73.993707,Yemen Cafe and Restaurant,"176 Atlantic Avenue, Brooklyn",tender
40.685532,-74.002323,Jake's Barbecue Restaurant,"189 Columbia Street, New York",tender
40.742386,-73.984607,Park Avenue Catering,"377 Park Avenue South #1, New York",tender
40.659809,-73.998995,La Cuarta Restaurant,"782 4th Avenue, Brooklyn",tender
40.714762,-73.992919,Hua Ji Pork Chop,"7 Allen Street, New York",tender
40.744253,-73.995326,Taco Express,"225 7th Avenue, New York",tender
40.75228,-73.978372,Baby Sitters Guild,"60 E 42nd St # 912, New York",tender
40.742767,-74.00352,Papa Kebab,"361 West 17th Street, New York",tender
40.748852,-74.04724,El Sabroso,"414 Central Avenue, Jersey City",tender
