"ï»¿""results__geometry__location__lat""",results__geometry__location__lng,results__name,results__vicinity
40.762152,-73.972677,Hospitality Group,"590 Madison Avenue, New York"
40.675354,-73.974721,Frajean,"69 7th Avenue, Brooklyn"
40.694305,-73.992952,Yoga People,"160 Montague Street, Brooklyn"
40.778548,-73.951819,Sarah Ritchie Wedding Officiant,"250 East 87th Street, New York"
40.7425,-73.984482,Hospitality Express Inc,"381 Park Avenue South, New York"
40.7425,-73.984482,National Scientific Marketing,"381 Park Avenue South, New York"
40.795222,-73.935961,Thank You & Good Luck Corporation,"2236 1st Ave, New York"
40.743378,-73.991632,Studio Anya,"49 West 24th Street, New York"
40.727677,-73.987968,Middle Collegiate Church,"112 Second Avenue, New York"
40.660889,-73.983449,Jaya Yoga Center,"1626 8th Avenue, Brooklyn"
40.782484,-73.975227,Berkley Girl,"410 Columbus Avenue, Manhattan"
40.781849,-73.981515,Manhattan Cat Specialists,"230 West 76th Street, New York"
40.750834,-73.971689,The Episcopal Church,"815 2nd Avenue, New York"
40.776281,-73.953105,Caledonia Scottish Pub,"1609 2nd Avenue, New York"
40.732705,-73.988739,Peridance Center,"126 East 13th Street, New York"
40.754951,-73.986857,Jean Pierre Hair Salon,"1441 Broadway, New York"
40.714507,-74.007267,Chambers Street Orthodontics: Cooperman Kenneth B DDS,"88 Chambers Street, New York"
40.734287,-74.003214,The Windsor,"234 West 4th Street, New York"
40.74554,-73.986885,Marble Collegiate Church,"1 West 29th Street, New York"
40.78891,-73.977378,Church of St. Paul and St. Andrew,"263 West 86th Street, New York"
